,Open,High,Low,Close,Volume,20 Day SMA,Mean Daily Returns,Mean Log Volume,RSI,MACD,CCI
0,110.181640625,110.83891296386719,106.5965576171875,107.55258178710938,8026376,110.60886726379394,-0.003614127804104661,15.629913864302376,44.267471768594,-0.3853397317706282,-103.40225667859387
1,107.07456970214844,108.4488525390625,103.96749877929688,106.11854553222656,8006921,110.1069549560547,-0.0042807953220083015,15.638096557504772,42.05391307804279,-0.6734411006754755,-201.8795161586661
2,105.64053344726562,105.64053344726562,103.7284927368164,103.96749877929688,7777324,109.61101837158203,-0.004316937435469154,15.641565758544383,38.910861078891415,-1.0429222166673355,-213.92293193223045
3,104.0272445678711,106.11854553222656,103.42973327636719,105.64053344726562,9531152,109.31226119995117,-0.0025154907261017434,15.672633630706434,42.50983330499214,-1.2100485250369104,-141.60074445291102
4,105.04302215576172,105.04302215576172,100.3226547241211,103.25048065185547,10786561,109.04935493469239,-0.0022548489601146304,15.683339261165717,38.977097019030325,-1.4942788718395263,-151.79364738497216
5,100.0239028930664,101.81644439697266,99.36663818359375,99.9043960571289,8869975,108.71175918579101,-0.003021696935531437,15.69534769959894,34.63720643336139,-1.9342000041578302,-155.69702376807942
6,100.92017364501953,100.92017364501953,96.49856567382812,98.23136138916016,10967205,108.25764846801758,-0.00416713752475596,15.721595271603999,32.67801162799028,-2.3779524936976344,-148.70777484454325
7,97.51434326171875,100.86042022705078,95.66204833984375,95.84130096435547,11304959,107.79158744812011,-0.00438145559465804,15.741182779751238,30.061991206392623,-2.869369181348631,-136.5423534836925
8,96.08030700683594,100.80066680908203,95.12428283691406,98.5898666381836,11707773,107.29565048217773,-0.004538451714900133,15.759835770259283,36.37048976742048,-3.039963948677652,-108.07195975923543
9,102.53346252441406,105.16252136230469,101.39818572998047,103.25048065185547,10630289,106.85946502685547,-0.0037717308307113895,15.78443383814486,45.36905304863155,-2.8226163562134303,-26.527162608379758
10,105.10277557373047,106.11854553222656,96.55831909179688,98.53011322021484,11241780,106.25896301269532,-0.00541727008550597,15.818798030154202,39.30600691377835,-2.9449306685376087,-62.60931764282179
11,101.33843231201172,102.2944564819336,97.21558380126953,98.4703598022461,10496715,105.72717514038087,-0.004798943022767899,15.846386620737984,39.234529104502116,-3.0149522555489483,-71.00801608806239
12,98.4703598022461,102.1749496459961,98.23136138916016,101.57743835449219,8761714,105.12667312622071,-0.005274942046804299,15.867745726822097,44.85053757979778,-2.8249062892071777,-39.268630089730536
13,101.81644439697266,103.25048065185547,99.54589080810547,103.25048065185547,6625469,104.67853736877441,-0.0038464668953309467,15.875957980484552,47.65583268123087,-2.5291059855278064,1.9964782918089603
14,102.8919677734375,104.20649719238281,100.38240814208984,100.62141418457031,7419487,104.01529655456542,-0.005865088089339293,15.89930781580838,43.878635056974545,-2.448416073103175,8.273702496940398
15,99.42638397216797,104.20649719238281,97.99235534667969,102.95172119140625,8233066,103.64782524108887,-0.003133154678303668,15.91501230001511,47.82597260633886,-2.1981816281361404,20.329519985846947
16,103.011474609375,105.16252136230469,102.65296173095703,103.84799194335938,8340490,103.29230422973633,-0.002995808770347558,15.943129346044149,49.30293561953893,-1.9146734282593343,101.26905097713079
17,102.77246856689453,103.48948669433594,101.45793151855469,102.2944564819336,5926531,102.80831756591797,-0.004201523053469103,15.947636514560983,46.82841354250805,-1.7762627624418457,60.77412929752631
18,104.20649719238281,104.98326873779297,103.13097381591797,104.20649719238281,6927135,102.48565979003907,-0.0026799639926014807,15.973260919826748,50.14497564437635,-1.516100568614604,119.51748854802595
19,103.48948669433594,106.77581024169922,102.95172119140625,105.16252136230469,9264736,102.16300201416016,-0.0026532138003676096,15.999530805532094,51.765020481624546,-1.227820968507217,126.02862919739978
20,105.16252136230469,108.38909912109375,105.10277557373047,107.79158782958984,6865421,102.17495231628418,0.0004169152577793489,15.991719017752683,55.99943822037309,-0.8051995609525591,169.95307376420845
21,107.8513412475586,109.64388275146484,107.01481628417969,108.50860595703125,7083094,102.29445533752441,0.0014161774344493838,15.985589244013747,57.10541826795962,-0.4119464079798405,172.08229204432152
22,109.46463012695312,110.3011474609375,108.86711120605469,109.22562408447266,6420139,102.5573616027832,0.0027600855587329165,15.97600061643394,58.235933790282644,-0.04616280259038774,165.64526037903713
23,110.77915954589844,110.77915954589844,106.716064453125,110.181640625,6791050,102.78441696166992,0.0023931243422052662,15.959052615284083,59.75881087634346,0.3103878928617405,126.08104802343075
24,110.3011474609375,116.8738021850586,110.00238800048828,115.32026672363281,12683378,103.38790626525879,0.005856232459741467,15.967152180778365,66.77222699108839,0.94353057971,180.5625561972266
25,119.50286865234375,122.60993957519531,119.14435577392578,121.29541015625,12408593,104.45745697021485,0.010067278474973889,15.983938042710932,72.72489016891353,1.8470290267567862,223.4051549579398
26,120.21988677978516,121.4149169921875,116.69454956054688,117.11280822753906,8524482,105.40152931213379,0.009180457736113663,15.97133968285172,64.07199919926497,2.256853809456601,145.9868109171042
27,116.93355560302734,117.05306243896484,113.2887191772461,113.76673126220703,7648666,106.29780082702636,0.008968434227464916,15.95180417157863,58.11483908264624,2.32807608055046,80.74806393238018
28,113.64722442626953,117.5908203125,113.46797180175781,117.35181427001953,9579268,107.23589820861817,0.00911014808590913,15.941771581563042,62.172929165879886,2.6065589779289837,83.85834507844437
29,117.23231506347656,118.3078384399414,111.91443634033203,113.1692123413086,8383899,107.73183479309083,0.004964432553965853,15.929901866641046,55.425987769631156,2.51230231960983,51.254908414256846
